Proposal ID,Programme Name,Lead Applicant,Research Body,Title of Research,Start Date,End Date,Revised Total Commitment (including overhead)
15/IFA/3037,SFI Industry Fellowship,Dezhong Zhou,University College Dublin (UCD),Bio-reducible highly branched poly(β-amino ester)-cell penetrating peptide (CPP) conjugate as a new generation of non-viral gene transfection reagent,12/01/2016,11/01/2017,"90,573"
12/RC/2289s8,SFI Maternity Allowance,Ollie Daniels,"National University of Ireland, Galway (NUIG)",INSIGHT - Irelands Big Data and Analytics Research Centre,11/01/2016,10/07/2016,"49,923"
12/RC/2289s6,SFI Maternity Allowance,Ollie Daniels,"National University of Ireland, Galway (NUIG)",INSIGHT - Irelands Big Data and Analytics Research Centre,04/01/2016,03/07/2016,"24,061"
DP15 / 007,SFI Discover,Adegboyega Ojo,"National University of Ireland, Galway (NUIG)",Apps4Gaps,01/01/2016,31/12/2016,"3,500"
15/CW/3320,SFI Conference and Workshop,Xinmin Zhan,"National University of Ireland, Galway (NUIG)",International Conference on Recent Advances in Pollution Control and Resource Recovery for the Livestock Sector (LivestockWaste2016),01/01/2016,31/07/2016,"4,870"
15/CW/3309,SFI Conference and Workshop,Cathal Gurrin,Dublin City University (DCU),MB2016 (Measuring Behaviour),01/01/2016,30/06/2016,"10,000"
DP15 / 037,SFI Discover,Jessamyn Fairfield,Trinity College Dublin (TCD),Bright Club,01/01/2016,31/12/2016,"10,500"
DP15 / 064,SFI Discover,Susan Schreibman,"National University of Ireland, Maynooth (NUIM)",Letters of 1916: Community Engagement,01/01/2016,31/12/2016,"11,900"
DP15 / 018,SFI Discover,Aoibhinn Ni Shuilleabhain,University College Dublin (UCD),Maths Sparks: Problem Solving Workshops,01/01/2016,31/12/2016,"12,635"
DP15 / 003,SFI Discover,Sibel Erduran,University of Limerick (UL),"Step into Science: Engaging Students, Teachers and Parents in Debates",01/01/2016,31/12/2016,"15,000"
DP15 / 044,SFI Discover,Fiona Kearney,University College Cork (UCC),"Gut Instinct: Art, food and feeling",01/01/2016,31/03/2017,"15,000"
DP15 / 048,SFI Discover,Jennifer Moroney-Ward,Learning Hub Limerick Ltd,Science Hub at Learning Hub Limerick,01/01/2016,31/12/2016,"15,000"
15/TIDA/2964,SFI Technology and Innovation Development Award (TIDA),Alessandro Checco,Trinity College Dublin (TCD),BLC: automatic group learning recommender system,01/01/2016,31/03/2016,"15,289"
DP15 / 062,SFI Discover,Aoibheann Bird,"National University of Ireland, Galway (NUIG)",Thesis in 3,01/01/2016,31/12/2016,"15,850"
DP15 / 010,SFI Discover,Nigel Flegg,The National Concert Hall,Music and Science: Quadratics to Quavers,01/01/2016,31/12/2016,"23,300"
DP15 / 034,SFI Discover,Noirin Burke,Galway Atlantaquaria,Engaging the public and students with Ireland's Renewable Ocean Energy.,01/01/2016,31/12/2016,"24,000"
DP15 / 068,SFI Discover,Jenny Beale,Brigit's Garden,Nature's Power 2: Energy and Environment Education for STEM,01/01/2016,31/12/2016,"24,000"
DP15 / 074,SFI Discover,Gillian Keating,iWish STEM,I Wish (Inspiring Women in Stem),01/01/2016,31/03/2016,"25,000"
DP15 / 087,SFI Discover,Mervyn Horgan,Lifetime Lab,Exploristica' Adventures in Statistics,01/01/2016,31/12/2016,"25,000"
DP15 / 013,SFI Discover,Mary Colclough,Trinity College Dublin (TCD),Science LIVE! - virtual tours of Irish science centres,01/01/2016,31/12/2016,"29,056"
DP15 / 107,SFI Discover,Dominic McEvoy,Kildare Education Centre,The Algebra Project in Ireland,01/01/2016,31/12/2016,"30,000"
DP15/032,SFI Discover,Alan Gillespie,Screentime Shinawil Limited,Peak Performance,01/01/2016,31/12/2016,"30,000"
DP15 / 024,SFI Discover,Eilish McLoughlin,Dublin City University (DCU),Physics Busking,01/01/2016,31/12/2016,"31,642"
DP15 / 105,SFI Discover,Edelle Moss,Feilte Dhuibh Linne Teoranta t/a St Patrick’s Day Festival,SFI Discover Zone at The Festival Big Day Out,01/01/2016,30/04/2016,"33,367"
DP15 / 096,SFI Discover,Kate Morris,Irish Universities Association (IUA),Campus Engage Participate Programme - Building STEM capacity in Community-based Learning,01/01/2016,31/12/2016,"33,998"
DP15 / 081,SFI Discover,Shane McCracken,Gallomanor Communications,"I'm a Scientist/Engineer, Get me out of here!",01/01/2016,31/12/2016,"34,000"
DP15 / 058,SFI Discover,Alf Desire,British Council Ireland,Famelab Ireland 2016,01/01/2016,31/12/2016,"35,850"
DP15 / 078,SFI Discover,Karen McCarthy,Tyndall National Institute (TNI),The Dissection of Instrumentation- Interactions between Art and Science,01/01/2016,31/12/2016,"37,650"
DP15 / 111,SFI Discover,Suzanne Little,"National University of Ireland, Galway (NUIG)",Girl Hack Ireland,01/01/2016,31/12/2016,"43,300"
DP15 / 095,SFI Discover,Marc McCarthy,University College Cork (UCC),The Microbiome and Me,01/01/2016,30/06/2017,"43,500"
DP15 / 009,SFI Discover,Valerie Cowman,The Cork Electronics Industry Association (CEIA),Steering Youth to STEM (SYSTEM),01/01/2016,31/12/2016,"48,557"
DP15 / 026,SFI Discover,Mervyn Horgan,Lifetime Lab,VEX IQ Junior Robotics Programme,01/01/2016,31/12/2016,"50,000"
DP15 / 041,SFI Discover,Claire Mulhall,Royal Dublin Society (RDS),RDS Primary Science Fair Regionalisation,01/01/2016,30/09/2016,"50,000"
DP15 / 060,SFI Discover,Tomas Ward,"National University of Ireland, Maynooth (NUIM)",Dublin Maker 2016,01/01/2016,31/12/2016,"50,000"
DP15 / 102,SFI Discover,Lynn Scarff,Trinity College Dublin (TCD),Going Deeper' at Science Gallery Dublin,01/01/2016,31/12/2016,"50,000"
DP15 / 104,SFI Discover,Hannah Spry,Royal Society of Chemistry,Expansion of Spectroscopy in a Suitcase(SIAS) and CPD in Ireland,01/01/2016,31/12/2016,"50,000"
DP15 / 106,SFI Discover,Daniel Vincent McCarthy,The Festival of Curiosity Ltd,The Curiosity Studio,01/01/2016,31/12/2016,"50,000"
DP15 / 116,SFI Discover,Sheila Donegan,Waterford Institute of Technology (WIT),CALMAST STEM Outreach Hub for Southeast of Ireland,01/01/2016,31/12/2016,"50,000"
15/TIDA/2822(X),SFI Technology and Innovation Development Award (TIDA),Roger Preston,Trinity College Dublin (TCD),A novel neuroprotective agent for enhanced treatment of ischemic stroke,01/01/2016,31/08/2016,"52,347"
15/CW/3492,SFI Conference and Workshop,Eimear Gallagher,Teagasc,18th IUFoST World Congress of Food Science and Technology,01/01/2016,31/12/2016,"55,000"
15/IFA/3053,SFI Industry Fellowship,Garry Duffy,Royal College of Surgeons in Ireland (RCSI),Specialised Medical Devices for Biomaterial Based Therapeutic Delivery to the Abdomen,01/01/2016,30/09/2016,"73,694"
15/IFA/3003,SFI Industry Fellowship,Fiona O'Neill,Dublin City University (DCU),Patient derived immunotherapies for cancer,01/01/2016,31/12/2017,"78,617"
DP15 / 094,SFI Discover,Lisa McKittrick,Junior Achievement Ire Ltd,Futurewize,01/01/2016,31/12/2016,"80,000"
15/IFA/2867,SFI Industry Fellowship,James Devaney,"National University of Ireland, Galway (NUIG)",Assessment of a nebulised cell based therapy product for Acute Respiratory Distress Syndrome,01/01/2016,31/12/2016,"81,223"
15/TIDA/2954,SFI Technology and Innovation Development Award (TIDA),Daniela Iacopino,Tyndall National Institute (TNI),Development of Supercapacitors with High Surface Area Porous Self-assembled Electrodes for Marine Renewable Energy Extraction,01/01/2016,31/12/2016,"87,577"
15/TIDA/2887,SFI Technology and Innovation Development Award (TIDA),Peter Ó Conghaile,"National University of Ireland, Galway (NUIG)",Development of a Novel Self-Contained Glucose Monitoring Sensor Using Pulsed Power,01/01/2016,30/09/2016,"87,760"
15/TIDA/2939,SFI Technology and Innovation Development Award (TIDA),Kenneth A. Dawson,University College Dublin (UCD),Upscaled production of engineered bio molecular coronas for targeted delivery,01/01/2016,31/03/2017,"90,021"
15/RI/3231,SFI Research Infrastructure Programme,Madeleine Lowery,University College Dublin (UCD),Human Performance Monitoring Suite,01/01/2016,28/02/2017,"91,162"
15/TIDA/2950,SFI Technology and Innovation Development Award (TIDA),Eoghan O'Neill,Royal College of Surgeons in Ireland (RCSI),Novel treatment of staphylococcal device related infections,01/01/2016,31/03/2017,"95,570"
DP15 / 030,SFI Discover,Declan Gibbons,Galway Film Resource Centre Ltd T/A Film Resource Centre,Science on Screen - Galway,01/01/2016,31/12/2016,"100,000"
12/IP/1731(T),SFI Investigator Programme,Dermot Brougham,University College Dublin (UCD),Long-circulating Magnetic Nanoparticles for Biomedical Applications through Mimetic Surface Chemistry,01/01/2016,28/02/2017,"100,167"
15/IFA/3006,SFI Industry Fellowship,Sara Armstrong,University College Cork (UCC),Grid Connection Solutions for Renewable Energy Farms,01/01/2016,31/01/2018,"100,182"
15/TIDA/2883,SFI Technology and Innovation Development Award (TIDA),Fiona Lyng,Dublin Institute of Technology (DIT),RAD-TOX: An assay to predict risk of radiation toxicity in cancer patients before selection of treatment modality,01/01/2016,31/12/2016,"108,222"
15/TIDA/2879,SFI Technology and Innovation Development Award (TIDA),Valeria Nicolosi,Trinity College Dublin (TCD),Development of Inkjet Printed Microbatteries Based on 2D Nanomaterials,01/01/2016,31/12/2016,"108,550"
15/TIDA/2938,SFI Technology and Innovation Development Award (TIDA),Charles Spillane,"National University of Ireland, Galway (NUIG)",3D Bio-Printing for Bio-Batteries,01/01/2016,31/03/2017,"109,831"
15/TIDA/2922,SFI Technology and Innovation Development Award (TIDA),Fiona Newell,Trinity College Dublin (TCD),CityQuest: a serious game to enhance cognition and improve balance control,01/01/2016,31/03/2017,"114,054"
15/IFA/3039,SFI Industry Fellowship,Laura Barkley,"National University of Ireland, Galway (NUIG)",Development of Syndecan-2 based therapeutics for the treatment of breast cancer.,01/01/2016,31/12/2016,"114,438"
15/TIDA/2893,SFI Technology and Innovation Development Award (TIDA),Colm O'Dwyer,University College Cork (UCC),Advanced Battery Materials for High Volumetric Energy Density Li-ion Batteries for Remote Off-Grid Power,01/01/2016,30/06/2017,"115,016"
15/TIDA/2927,SFI Technology and Innovation Development Award (TIDA),Lokesh Joshi,"National University of Ireland, Galway (NUIG)",Rapid Sialic Acid test for improved in-process monitoring and quality control of recombinant biopharmaceuticals,01/01/2016,30/06/2017,"117,560"
15/TIDA/2814,SFI Technology and Innovation Development Award (TIDA),Anthony McCoy,Dublin City University (DCU),Processes development for atomic layer deposited (ALD) barrier layers for interconnect technologies.,01/01/2016,30/06/2016,"118,051"
15/IFA/3057,SFI Industry Fellowship,Marco Monopoli,Royal College of Surgeons in Ireland (RCSI),Impact of Glycans at the BioNano Interface,01/01/2016,31/12/2016,"119,630"
15/TIDA/2825,SFI Technology and Innovation Development Award (TIDA),Stephen Keely,Royal College of Surgeons in Ireland (RCSI),Optimisation of Novel Farnesoid X Receptor Agonists – A New Class of Anti-diarrhoeal Drug to Underpin and Add Value to an Enabling Patent,01/01/2016,30/04/2017,"119,937"
DP15 / 112,SFI Discover,Eoin Gill,Waterford Institute of Technology (WIT),Maths Week Ireland,01/01/2016,31/12/2017,"120,000"
15/TIDA/2874,SFI Technology and Innovation Development Award (TIDA),Guillaume Huyet,Cork Institute of Technology (CIT),Multi-Section Swept Source Lasers for OCT Applications,01/01/2016,31/12/2016,"120,099"
15/TIDA/2957,SFI Technology and Innovation Development Award (TIDA),Andreas Heise,Royal College of Surgeons in Ireland (RCSI),Polypeptide Nanoparticles as Carriers for Active Ingredients (PepCap),01/01/2016,31/05/2017,"120,295"
15/TIDA/2816,SFI Technology and Innovation Development Award (TIDA),Fiona Doohan,University College Dublin (UCD),Determining the field potential of endophyte formulations to improve barley productivity,01/01/2016,30/04/2017,"122,926"
15/TIDA/2930,SFI Technology and Innovation Development Award (TIDA),Sandra O'Neill,Dublin City University (DCU),Novel anti-inflammatory therapies,01/01/2016,31/12/2016,"123,773"
15/TIDA/2994,SFI Technology and Innovation Development Award (TIDA),Kevin M Ryan,University of Limerick (UL),Nanorod Assembly for Photonic Integrated Circuit Applications: Development of a Semiconductor Processing Tool for Low Cost Wafer Integrated Plasmonic Lasers,01/01/2016,31/12/2016,"123,977"
15/TIDA/2846,SFI Technology and Innovation Development Award (TIDA),Padraig Cantillon Murphy,University College Cork (UCC),Early detection of lung cancer through novel endoscopic technology,01/01/2016,31/07/2017,"124,155"
15/TIDA/2848,SFI Technology and Innovation Development Award (TIDA),Rocco Lupoi,Trinity College Dublin (TCD),Enhanced boiling heat transfer technology using Cold Spray additive manufacturing,01/01/2016,31/12/2016,"124,709"
15/TIDA/2856,SFI Technology and Innovation Development Award (TIDA),Ewen Mullins,Teagasc,"Evaluating the potential of EMT, a novel gene transfer technology, to overcome the industrial challenge of genotype dependency, which limits the engineering of multiple varieties of important crop species",01/01/2016,31/05/2017,"124,764"
15/TIDA/2952,SFI Technology and Innovation Development Award (TIDA),Sylvia Draper,Trinity College Dublin (TCD),New materials as Photosensitisers in Adhesive Technologies,01/01/2016,31/12/2016,"125,518"
15/TIDA/2962,SFI Technology and Innovation Development Award (TIDA),Jennifer McManus,"National University of Ireland, Maynooth (NUIM)",Bio-Gel Scaffolds for 3D Cell Culture,01/01/2016,30/09/2017,"126,916"
15/TIDA/2945,SFI Technology and Innovation Development Award (TIDA),Dermot Brougham,University College Dublin (UCD),NANO-PREDICT: MRI trackable predictors of liposome biodistribution for preclinical research and cancer staging,01/01/2016,31/12/2017,"127,091"
15/TIDA/2977,SFI Technology and Innovation Development Award (TIDA),Fergal O'Gara,University College Cork (UCC),Pre-clinical testing of novel fungal biofilm blockers for the medical device sector.,01/01/2016,30/06/2017,"127,833"
15/TIDA/2823,SFI Technology and Innovation Development Award (TIDA),Igor Shvets,Trinity College Dublin (TCD),Bringing Condition-Based Monitoring to the Mass Market using Low-Cost Sensors and Intelligent Analytics,01/01/2016,30/04/2017,"128,347"
15/TIDA/2845,SFI Technology and Innovation Development Award (TIDA),Fionnuala Ní Áinle,University College Dublin (UCD),Optimization of low molecular weight heparin (LMWH) endothelial protective properties: towards novel prevention strategies in cancer metastasis,01/01/2016,31/03/2017,"128,609"
15/TIDA/2920,SFI Technology and Innovation Development Award (TIDA),Sarah Doyle,Trinity College Dublin (TCD),Targeting IL-18 Binding Protein as a novel therapy for the treatment of Age-related Macular Degeneration.,01/01/2016,30/06/2017,"128,956"
